Date,Open,High,Low,Close,Volume,ticker
2025-09-09,239.6300048828125,240.47000122070312,233.22999572753906,234.1699981689453,38061000,GOOGL
2025-09-10,239.1699981689453,241.66000366210938,237.85000610351562,238.89999389648438,35141100,GOOGL
2025-09-11,240.3699951171875,242.25,236.25,239.8800048828125,30599300,GOOGL
2025-09-12,240.8000030517578,242.0800018310547,238.0,240.3699951171875,26771600,GOOGL
2025-09-15,251.61000061035156,252.41000366210938,244.66000366210938,244.66000366210938,58383800,GOOGL
2025-09-16,251.16000366210938,253.0399932861328,249.47000122070312,252.0800018310547,34109700,GOOGL
2025-09-17,249.52999877929688,251.60000610351562,246.27999877929688,251.22000122070312,34108000,GOOGL
2025-09-18,252.02999877929688,253.99000549316406,249.8000030517578,251.67999267578125,31239500,GOOGL
2025-09-19,254.72000122070312,256.0,251.80999755859375,253.25,55571400,GOOGL
2025-09-22,252.52999877929688,255.77999877929688,250.3000030517578,254.42999267578125,32290500,GOOGL
2025-09-23,251.66000366210938,254.36000061035156,250.47999572753906,253.0399932861328,26628000,GOOGL
2025-09-24,247.13999938964844,252.35000610351562,246.44000244140625,251.66000366210938,28201000,GOOGL
2025-09-25,245.7899932861328,246.49000549316406,240.74000549316406,244.39999389648438,31020400,GOOGL
2025-09-26,246.5399932861328,249.4199981689453,245.97000122070312,247.07000732421875,18503200,GOOGL
2025-09-29,244.0500030517578,251.14999389648438,242.77000427246094,247.85000610351562,32505800,GOOGL
2025-09-30,243.10000610351562,243.2899932861328,239.25,242.80999755859375,34724300,GOOGL
2025-10-01,244.89999389648438,246.3000030517578,238.61000061035156,240.75,31658200,GOOGL
2025-10-02,245.69000244140625,246.80999755859375,242.3000030517578,245.14999389648438,25483300,GOOGL
2025-10-03,245.35000610351562,246.3000030517578,241.66000366210938,244.49000549316406,30249600,GOOGL
2025-10-06,250.42999267578125,251.32000732421875,244.5800018310547,244.77999877929688,28894700,GOOGL
2025-10-07,245.75999450683594,250.44000244140625,245.52000427246094,248.27000427246094,23181300,GOOGL
2025-10-08,244.6199951171875,246.00999450683594,243.82000732421875,244.9600067138672,21307100,GOOGL
2025-10-09,241.52999877929688,244.75999450683594,239.14999389648438,244.47000122070312,27892100,GOOGL
2025-10-10,236.57000732421875,244.08999633789062,235.83999633789062,241.42999267578125,33180300,GOOGL
2025-10-13,244.14999389648438,244.5,239.7100067138672,240.2100067138672,24995000,GOOGL
2025-10-14,245.4499969482422,247.1199951171875,240.50999450683594,241.22999572753906,22111600,GOOGL
2025-10-15,251.02999877929688,252.11000061035156,245.99000549316406,247.25,26970700,GOOGL
